"isqno","atp_number","start_time_min","start_time_max","end_time_min","end_time_max","duration_max","duration_min","duration_only"
1,1,1600-07-02 14:30:00,1600-07-02 14:30:00,1600-07-02 19:30:00,1600-07-02 19:30:00,300,300,FALSE
2,1,1620-11-08 12:00:00,1620-11-08 12:00:00,1620-11-08 13:00:00,1620-11-08 13:00:00,60,60,FALSE
3,1,1622-05-06 03:30:00,1622-05-06 03:30:00,1622-05-06 10:00:00,1622-05-06 10:00:00,390,390,FALSE
3,2,1622-05-06 14:00:00,1622-05-06 14:00:00,1622-05-06 19:00:00,1622-05-06 19:00:00,300,300,FALSE
4,1,1626-04-25 00:00:00,1626-04-26 00:00:00,1626-04-25 00:00:00,1626-04-26 00:00:00,1440,0,FALSE
5,1,1626-08-27 00:00:00,1626-08-28 00:00:00,1626-08-27 00:00:00,1626-08-28 00:00:00,1440,0,FALSE
6,1,1631-09-17 14:30:00,1631-09-17 14:30:00,1631-09-17 18:30:00,1631-09-17 18:30:00,240,240,FALSE
7,1,1632-04-15 00:00:00,1632-04-16 00:00:00,1632-04-16 00:00:00,1632-04-17 00:00:00,2880,0,FALSE
8,1,1632-09-03 10:00:00,1632-09-03 10:00:00,1632-09-03 20:00:00,1632-09-03 20:00:00,600,600,FALSE
8,2,1632-09-04 10:00:00,1632-09-04 10:00:00,1632-09-04 11:00:00,1632-09-04 11:00:00,60,60,FALSE
9,1,1632-11-16 11:00:00,1632-11-16 11:00:00,1632-11-16 20:00:00,1632-11-16 20:00:00,540,540,FALSE
10,1,1634-09-06 05:30:00,1634-09-06 05:30:00,1634-09-06 12:30:00,1634-09-06 12:30:00,420,420,FALSE
11,1,1636-10-04 00:00:00,1636-10-05 00:00:00,1636-10-04 00:00:00,1636-10-05 00:00:00,1440,0,FALSE
12,1,1642-11-02 07:00:00,1642-11-02 07:00:00,1642-11-02 10:00:00,1642-11-02 10:00:00,180,180,FALSE
13,1,1643-05-19 03:30:00,1643-05-19 03:30:00,1643-05-19 10:00:00,1643-05-19 10:00:00,390,390,FALSE
14,1,1643-11-24 00:00:00,1643-11-25 00:00:00,1643-11-24 00:00:00,1643-11-25 00:00:00,1440,0,FALSE
15,1,1644-08-03 17:00:00,1644-08-03 17:00:00,1644-08-03 23:00:00,1644-08-03 23:00:00,360,360,FALSE
15,2,1644-08-05 08:30:00,1644-08-05 08:30:00,1644-08-05 10:00:00,1644-08-05 10:00:00,90,90,FALSE
15,3,1644-08-05 15:00:00,1644-08-05 15:00:00,1644-08-05 17:00:00,1644-08-05 17:00:00,120,120,FALSE
15,4,1644-08-09 00:00:00,1644-08-10 00:00:00,1644-08-09 00:00:00,1644-08-10 00:00:00,120,120,TRUE
16,1,1645-03-06 00:00:00,1645-03-07 00:00:00,1645-03-06 00:00:00,1645-03-07 00:00:00,1440,0,FALSE
17,1,1645-05-02 00:00:00,1645-05-03 00:00:00,1645-05-02 00:00:00,1645-05-03 00:00:00,1440,0,FALSE
18,1,1645-08-03 17:00:00,1645-08-03 17:00:00,1645-08-03 20:00:00,1645-08-03 20:00:00,180,180,FALSE
19,1,1648-08-10 05:00:00,1648-08-10 05:00:00,1648-08-10 05:30:00,1648-08-10 05:30:00,30,30,FALSE
19,2,1648-08-10 08:30:00,1648-08-10 08:30:00,1648-08-10 11:00:00,1648-08-10 11:00:00,150,150,FALSE
20,1,1642-10-23 15:00:00,1642-10-23 15:00:00,1642-10-23 18:00:00,1642-10-23 18:00:00,180,180,FALSE
21,1,1644-07-02 19:00:00,1644-07-02 19:00:00,1644-07-02 22:00:00,1644-07-02 22:00:00,180,180,FALSE
22,1,1644-09-01 00:00:00,1644-09-02 00:00:00,1644-09-01 00:00:00,1644-09-02 00:00:00,1440,0,FALSE
23,1,1644-08-15 00:00:00,1644-08-16 00:00:00,1644-08-15 00:00:00,1644-08-16 00:00:00,1440,0,FALSE
24,1,1644-10-27 06:00:00,1644-10-27 06:00:00,1644-10-27 08:00:00,1644-10-27 08:00:00,120,120,FALSE
24,2,1644-10-27 15:00:00,1644-10-27 15:00:00,1644-10-27 17:00:00,1644-10-27 17:00:00,120,120,FALSE
25,1,1645-06-14 10:00:00,1645-06-14 10:00:00,1645-06-14 13:00:00,1645-06-14 13:00:00,180,180,FALSE
26,1,1648-08-17 00:00:00,1648-08-18 00:00:00,1648-08-18 00:00:00,1648-08-19 00:00:00,2880,0,FALSE
27,1,1650-09-03 04:00:00,1650-09-03 04:00:00,1650-09-03 06:00:00,1650-09-03 06:00:00,120,120,FALSE
28,1,1651-09-03 14:30:00,1651-09-03 14:30:00,1651-09-03 18:00:00,1651-09-03 18:00:00,210,210,FALSE
29,1,1652-07-05 08:00:00,1652-07-05 08:00:00,1652-07-05 14:00:00,1652-07-05 14:00:00,360,360,FALSE
30,1,1658-06-14 08:00:00,1658-06-14 08:00:00,1658-06-14 12:00:00,1658-06-14 12:00:00,240,240,FALSE
31,1,1664-08-01 06:00:00,1664-08-01 06:00:00,1664-08-01 14:00:00,1664-08-01 14:00:00,480,480,FALSE
32,1,1683-09-12 05:30:00,1683-09-12 05:30:00,1683-09-12 18:00:00,1683-09-12 18:00:00,750,750,FALSE
33,1,1673-11-11 00:00:00,1673-11-12 00:00:00,1673-11-11 00:00:00,1673-11-12 00:00:00,1440,0,FALSE
