"isqno","war","name","locn","campgn","postype","post1","post2","front","depth","time","aeroa","surpa","cea","leada","trnga","morala","logsa","momnta","intela","techa","inita","wina","kmda","crit","quala","resa","mobila","aira","fprepa","wxa","terra","leadaa","plana","surpaa","mana","logsaa","fortsa","deepa","is_hero","war2","war3","war4","war4_theater","dbpedia","cow_warno","cow_warname","war_initiator","parent"
1,"NETHERLAND'S WAR OF INDEPENDENCE","NIEUPORT","SPANISH FLANDERS","NIEUPORT 1600",0,"HD",,0,0,0,0,0,,,0,0,0,1,0,0,1,,,1,,,0,0,0,0,0,,0,0,0,0,0,0,1,"NETHERLAND'S WAR OF INDEPENDENCE","NETHERLAND'S WAR OF INDEPENDENCE","Eighty Years War of 1568-1648","","http://dbpedia.org/resource/Battle_of_Nieuwpoort",,"",0,
2,"THIRTY YEAR'S WAR","WHITE MOUNTAIN","BOHEMIA","BOHEMIA 1620",1,"HD","PD",1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,,1,0,0,0,0,,0,1,"THIRTY YEAR'S WAR","THIRTY YEAR'S WAR","Thirty Years' War of 1618-1648","","http://dbpedia.org/resource/Battle_of_White_Mountain",,"",0,
3,"THIRTY YEAR'S WAR","WIMPFEN","PALATINATE","PALATINATE 1622",0,"HD",,0,0,0,0,0,0,1,0,0,0,,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"THIRTY YEAR'S WAR","THIRTY YEAR'S WAR","Thirty Years' War of 1618-1648","","http://dbpedia.org/resource/Battle_of_Wimpfen",,"",0,
4,"THIRTY YEAR'S WAR","DESSAU BRIDGE","ANHALT","DANISH INVASION OF GERMANY 1625-26",0,"PD",,0,0,0,0,,0,,0,0,0,0,,0,,,,1,0,,0,0,,0,0,,,,0,0,,0,1,"THIRTY YEAR'S WAR","THIRTY YEAR'S WAR","Thirty Years' War of 1618-1648","","http://dbpedia.org/resource/Battle_of_Dessau_Bridge",,"",1,
5,"THIRTY YEAR'S WAR","LUTTER","BRUNSWICK","DANISH INVASION OF GERMANY 1625-26",0,"HD",,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"THIRTY YEAR'S WAR","THIRTY YEAR'S WAR","Thirty Years' War of 1618-1648","","http://dbpedia.org/resource/Battle_of_Lutter",,"",0,
6,"THIRTY YEAR'S WAR","BREITENFELD I","SAXONY","LEIPZIG 1631",0,"HD",,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,"THIRTY YEAR'S WAR","THIRTY YEAR'S WAR","Thirty Years' War of 1618-1648","","http://dbpedia.org/resource/Battle_of_Breitenfeld_(1631)",,"",0,
7,"THIRTY YEAR'S WAR","THE LECH","BAVARIA","BAVARIA 1632",0,"PD",,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3.2,1,0,0,0,0,0,0,,1,1,0,0,0,,0,1,"THIRTY YEAR'S WAR","THIRTY YEAR'S WAR","Thirty Years' War of 1618-1648","","http://dbpedia.org/resource/Battle_of_Rain",,"",1,
8,"THIRTY YEAR'S WAR","ALTE VESTE","FRANCONIA","NUREMBERG 1632",0,"PD",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,0,0,0,,0,0,0,0,0,,0,1,"THIRTY YEAR'S WAR","THIRTY YEAR'S WAR","Thirty Years' War of 1618-1648","","http://dbpedia.org/resource/Battle_of_the_Alte_Veste",,"",1,
9,"THIRTY YEAR'S WAR","LUETZEN","SAXONY","SAXONY 1632",0,"HD",,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1.5,1,0,0,0,0,0,,,1,0,0,0,0,0,0,1,"THIRTY YEAR'S WAR","THIRTY YEAR'S WAR","Thirty Years' War of 1618-1648","","http://dbpedia.org/resource/Battle_of_Lützen_(1632)",,"",1,
10,"THIRTY YEAR'S WAR","NORDLINGEN I","BAVARIA","BAVARIA 1634",0,"PD",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,,,,0,0,0,,0,1,"THIRTY YEAR'S WAR","THIRTY YEAR'S WAR","Thirty Years' War of 1618-1648","","http://dbpedia.org/resource/Battle_of_Nördlingen_(1634)",,"",1,
