"isqno","attacker","nam","co","str","code","intst","rerp","cas","finst","cav","tank","lt","mbt","arty","fly","ctank","carty","cfly","pri1","pri2","pri3","sec1","sec2","sec3","reso1","reso2","reso3","strpl","strmi","caspl","casmi","ach","actors"
1,0,"DU ARMY OF THE STATES GENERAL","MAURICE OF NASSAU","11300",1,"11300",0,"1000","10300",1400,0,0,0,6,0,0,0,0,"DO","FF",,,,"0",,,,33,-3,20,0,8,"Dutch Republic"
1,1,"SP NETHERLANDS ARMY","ALBERT OF AUSTRIA","11500",1,"11500",0,"4000","7500",1500,0,0,0,8,0,0,8,0,"FF",,,,,,"RR","WD",,0,-5,0,-25,3,"Spain"
10,0,"SP & IMP ARMY","CARDINAL-INFANTE AND FERDINAND","35000",1,"35000",0,"2000","33000",15000,0,0,0,50,0,0,0,0,"DO",,,,,"0","PS","WD",,0,-6,10,-10,9,"Spain & Holy Roman Empire"
10,1,"SW ARMY","SAXE-WEIMAR & HORN","25000",1,"25000",0,"12000","13000",10000,0,0,0,80,0,0,80,0,"EE","RF",,"FE","LF",,"RR","WL",,10,-10,75,0,3,"Sweden"
100,0,"AUSTRIAN ARMY","SAXE-COBURG","23000",1,"23000",0,"3000","20000",,0,0,0,,0,0,,0,"DD",,,,,"0","WD",,,13,0,67,0,4,"Austria"
100,1,"FRENCH ARMY OF THE NORTH","JOURDAN","44000",1,"44000",0,"4500","39500",,0,0,0,,0,0,,0,"FF","DE",,"PP",,,"PP",,,16,0,78,0,5,"France"
101,0,"FRENCH ARMY OF THE NORTH","JOURDAN","73000",1,"73000",0,"7000","66000",10000,0,0,0,,0,0,,0,"DD",,,,,"0",,,,11,0,0,-75,7,"France"
101,1,"AUSTRIAN ARMY","SAXE-COBURG","46000",1,"46000",0,"4000","42000",14000,0,0,0,,0,0,,0,"FF",,,,,,"PP","RR","WD",13,0,20,-43,6,"Austria"
102,0,"AUSTRIAN ARMY","BEAULIEU","10000",1,"10000",0,"1850","8150",,0,0,0,18,0,0,16,0,"DD",,,,,"0","WD",,,5,-5,10,0,3,"Austria"
102,1,"FRENCH ARMY OF ITALY","BONAPARTE","17000",3,"6100",10900,"900","16100",,0,0,0,24,0,0,0,0,"FF","PP","RC",,,,"PP",,,18,0,122,0,8,"France"
103,0,"AUSTRIAN ARMY","WURMSER","25000",1,"25000",0,"3000","22000",,0,0,0,30,0,0,20,0,"DD",,,"DO",,"0","WD",,,0,-5,5,-5,3,"Austria"
103,1,"FRENCH ARMY OF ITALY","BONAPARTE","30000",3,"21000",9000,"1500","28500",,0,0,0,60,0,0,8,0,"EE","LR",,"FE",,,"PP",,,16,0,0,-26,8,"France"
104,0,"FR ARMY OF THE RHINE AND MOSELLE","MOREAU","45000",1,"45000",0,"3000","42000",,0,0,0,,0,0,,0,"DD",,,,,"0","SS",,,11,0,0,-20,4,"France"
104,1,"AUS ARMY","ARCHDUKE CHARLES","40000",1,"40000",0,"3000","37000",,0,0,0,,0,0,,0,"FF","EE",,,,,"SS","WD",,20,0,0,-47,5,"Austria"
105,0,"FR ARMY OF THE SAMBRE AND MEUSE","JOURDAN","30000",1,"30000",0,"3000","27000",5000,0,0,0,,0,0,,0,"DD",,,,,"0","WD",,,5,-5,5,-5,4,"France"
105,1,"AUS ARMY","ARCHDUKE CHARLES","44000",3,,,"1500","42500",13000,0,0,0,,0,0,,0,"FF","EE",,,,,"PP",,,5,-5,5,-5,7,"Austria"
106,0,"AUS ARMY","ALVINTZI","12700",1,"12700",0,"7000","5700",,0,0,0,37,0,0,11,0,"DD",,,,,"0","WD",,,0,-13,0,-11,3,"Austria"
106,1,"FR ARMY OF ITALY","BONAPARTE","17300",1,"17300",0,"4500","12800",,0,0,0,32,0,0,0,0,"FF","DD",,,,,"PP",,,4,0,3,0,8,"France"
107,0,"FR ARMY OF ITALY","BONAPARTE","20500",3,,,"5000","15500",,0,0,0,20,0,0,0,0,"DO",,,"DD",,"0","PS",,,0,-2,0,-56,9,"France"
107,1,"AUS ARMY","ALVINTZI","28000",1,"28000",0,"14000","14000",,0,0,0,35,0,0,,0,"FF",,,"EE",,,"WD",,,0,-19,0,-26,3,"Austria"
108,0,"MAMELUKE ARMY","MURAD BEY","21000",1,"21000",0,"5000","16000",,0,0,0,40,0,0,20,0,"DD",,,,,"0","WL",,,186,0,0,-60,2,"Ottoman Empire"
108,1,"FR ARMY","BONAPARTE","25000",1,"25000",0,"300","24700",,0,0,0,30,0,0,0,0,"DO",,,"FF",,,"BB","PS",,0,-20,0,-53,9,"France"
109,0,"AUS ARMY","ARCHDUKE CHARLES","50000",1,"50000",0,"6000","44000",12000,0,0,0,,0,0,,0,"DD",,,,,"0",,,,45,-8,0,-33,6,"Austria"
