"isqno","atp_number","start_time_min","start_time_max","end_time_min","end_time_max","duration"
1,1,1600-07-02 14:30:00,1600-07-02 14:30:00,1600-07-02 14:30:00,1600-07-02 14:30:00,
2,1,1620-11-08 12:00:00,1620-11-08 12:00:00,1620-11-08 12:00:00,1620-11-08 12:00:00,
3,1,1622-05-06 03:30:00,1622-05-06 03:30:00,1622-05-06 03:30:00,1622-05-06 03:30:00,
3,2,1622-05-06 14:00:00,1622-05-06 14:00:00,1622-05-06 14:00:00,1622-05-06 14:00:00,
4,1,1626-04-25 00:00:00,1626-04-26 00:00:00,1626-04-25 00:00:00,1626-04-26 00:00:00,
5,1,1626-08-27 00:00:00,1626-08-28 00:00:00,1626-08-27 00:00:00,1626-08-28 00:00:00,
6,1,1631-09-17 14:30:00,1631-09-17 14:30:00,1631-09-17 14:30:00,1631-09-17 14:30:00,
7,1,1632-04-15 00:00:00,1632-04-16 00:00:00,1632-04-15 00:00:00,1632-04-16 00:00:00,
8,1,1632-09-03 10:00:00,1632-09-03 10:00:00,1632-09-03 10:00:00,1632-09-03 10:00:00,
8,2,1632-09-04 10:00:00,1632-09-04 10:00:00,1632-09-04 10:00:00,1632-09-04 10:00:00,
9,1,1632-11-16 11:00:00,1632-11-16 11:00:00,1632-11-16 11:00:00,1632-11-16 11:00:00,
10,1,1634-09-06 05:30:00,1634-09-06 05:30:00,1634-09-06 05:30:00,1634-09-06 05:30:00,
11,1,1636-10-04 00:00:00,1636-10-05 00:00:00,1636-10-04 00:00:00,1636-10-05 00:00:00,
12,1,1642-11-02 07:00:00,1642-11-02 07:00:00,1642-11-02 07:00:00,1642-11-02 07:00:00,
13,1,1643-05-19 03:30:00,1643-05-19 03:30:00,1643-05-19 03:30:00,1643-05-19 03:30:00,
14,1,1643-11-24 00:00:00,1643-11-25 00:00:00,1643-11-24 00:00:00,1643-11-25 00:00:00,
15,1,1644-08-03 17:00:00,1644-08-03 17:00:00,1644-08-03 17:00:00,1644-08-03 17:00:00,
15,2,1644-08-05 08:30:00,1644-08-05 08:30:00,1644-08-05 08:30:00,1644-08-05 08:30:00,
15,3,1644-08-05 15:00:00,1644-08-05 15:00:00,1644-08-05 15:00:00,1644-08-05 15:00:00,
