"isqno","nam","co","wof1","wof2","wof3","str","code","intst","rerp","cas","finst","cav","tank","lt","mbt","arty","fly","ctank","carty","cfly","pri1","pri2","pri3","sec1","sec2","sec3","reso1","reso2","reso3","strpl","strmi","caspl","casmi","ach","attacker","surp","countries"
1,"SP NETHERLANDS ARMY","ALBERT OF AUSTRIA",0.9,,,11500,,11500,0,4000,7500,1500,0,0,0,8,0,0,8,0,"FF",,,,,,"RR","WD",,0,-5,0,-25,3,TRUE,,"Spain"
2,"IMP & HOLY LEAGUE ARMY","BUCQUOI",1.5,,,40000,,40000,0,400,39600,7500,0,0,0,12,0,0,0,0,"FF",,,,,,"BB","PS",,0,-50,10,-10,8,TRUE,,"Holy Roman Empire"
3,"HOLY LEAGUE & SP ARMY","TILLY & CORDOVA",3.7,,,20000,,20000,0,5000,15000,4000,0,0,0,8,0,0,0,0,"FF",,,,,,"BB","PS",,0,-10,0,-90,7,TRUE,,"Holy Roman Empire|Spain"
4,"PROT UNION ARMY","MANSFIELD",,,,8500,,8500,0,3000,5500,2500,0,0,0,9,0,0,9,0,"FF",,,,,,"WL",,,29,0,33,0,3,TRUE,,"Protestant Union"
5,"HOLY LEAGUE ARMY","TILLY",,,,17000,,17000,0,2000,15000,7000,0,0,0,12,0,0,0,0,"FF",,,,,,"BB","PS",,6,0,25,0,7,TRUE,,"Holy Roman Empire"
6,"IMP & HOLY LEAGUE ARMY","TILLY",3.2,,,32000,,32000,0,13600,18400,11000,0,0,0,26,0,0,26,0,"FF","EE","LF",,,,"PP","RR","WL",6,0,0,-12,4,TRUE,,"Holy Roman Empire"
7,"SW ARMY","GUSTAVUS ADOLPHUS",8,9.7,,33000,,33000,0,1000,32000,,0,0,0,70,0,0,0,0,"FF",,,,,,"SS",,,36,-24,100,0,9,TRUE,,"Sweden"
8,"SW ARMY","GUSTAVUS ADOLPHUS",2.3,,,46000,,46000,0,4000,42000,16000,0,0,0,,0,0,,0,"FF",,,,,,"RR","WD",,9,0,0,-50,4,TRUE,,"Sweden"
9,"SW ARMY","GUSTAVUS ADOLPHUS",4.4,,,18996,,18996,0,4000,14996,6210,0,0,0,60,0,0,,0,"FF",,,,,,"PP",,,5,-5,100,0,9,TRUE,,"Sweden"
10,"SW ARMY","SAXE-WEIMAR & HORN",2.8,,,25000,,25000,0,12000,13000,10000,0,0,0,80,0,0,80,0,"EE","RF",,"FE","LF",,"RR","WL",,10,-10,75,0,3,TRUE,,"Sweden"
