"isqno","wofa","wofd","front_number","time_min","time_max"
1,0.9,0.9,1,,
2,1.5,1.5,1,,
3,3.7,2.8,1,,
6,3.2,3.6,1,,
7,8,21,1,"1632-04-14T19:00:00","1632-04-15T19:00:00"
7,9.7,13,2,"1632-04-15T19:00:00","1632-04-16T19:00:00"
8,2.3,2.7,1,,
9,4.4,4.8,1,,
10,2.8,5.6,1,,
11,4.4,3,1,,
12,3.5,3.5,1,,
13,2.4,1.8,1,,
14,3,2,1,,
15,6.4,6.4,1,,
16,3.1,3.1,1,,
17,7,7,1,,
18,3.2,3.2,1,,
19,2,3.5,1,,
20,3.2,3.2,1,,
21,2.8,2.8,1,,
22,1.1,1.1,1,,
23,0.7,0.7,1,,
24,2.8,2,1,,
25,1.6,1.6,1,,
26,1,0.6,1,,
27,1.8,2.7,1,,
28,5.6,5.6,1,,
29,1.5,1.5,1,,
30,4,4.4,1,,
31,3.8,4.1,1,,
32,8.8,8,1,,
34,5,5,1,,
35,1.8,1.8,1,,
36,5.6,7,1,,
38,3.4,2,1,,
39,0.8,1.2,1,,
40,1,1,1,,
41,1,1,1,"1689-08-25T04:00:00","1689-08-25T04:00:00"
41,3.2,3.2,2,"1689-08-25T07:00:00","1689-08-25T07:00:00"
43,8,5,1,,
44,6.4,4.8,1,,
45,2.4,5.2,1,,
46,5.7,8.600001,1,,
48,4.2,2.7,1,,
49,1.2,3.2,1,,
49,1.8,2.2,2,,
50,6.4,7.1,1,,
51,4.8,5.2,1,,
52,6.4,6,1,,
53,8.2,8.8,1,,
55,2.7,4.3,1,,
56,3.4,3.7,1,,
57,2.3,2.2,1,,
58,2.8,4,1,,
59,4.8,5.5,1,,
59,5.9,5.5,2,,
60,3.5,3.2,1,,
61,4.4,3,1,,
62,0.6,0.8,1,,
63,0.7,1.5,1,,
64,3.2,5.6,1,,
65,4.8,5.2,1,,
66,3.2,0.7,1,,
67,5.2,6.4,1,,
68,5.5,10,1,,
69,2.7,4,1,,
70,4.3,7.6,1,,
71,10.5,7.5,1,,
72,3.4,4.8,1,,
73,5.6,4.2,1,,
74,3.2,3.2,1,,
75,4,4,1,,
76,5.4,6.4,1,,
77,1,1.2,1,,
79,5,6.4,1,,
80,2.4,4,1,,
81,8,11.4,1,,
82,0.5,0.7,1,,
83,0.2,0.2,1,,
84,2.4,2.8,1,,
85,1.3,0.2,1,,
86,0.6,0.3,1,,
87,1.5,1.5,1,,
88,4,2.8,1,,
89,0.6,1.2,1,,
90,1,1.6,1,,
91,1.6,1.6,1,,
92,0.2,0.2,1,,
93,2,2,1,,
94,0.6,0.9,1,,
95,0.4,0.4,1,,
96,7,8,1,,
97,5,6.4,1,,
98,13,12,1,,
99,8,5.6,1,,
100,16,16,1,,
101,16,20,1,,
102,1.6,2.4,1,,
103,2.4,4,1,,
103,8,6,2,,
104,40,40,1,,
105,20,13,1,,
106,5,5,1,,
107,6,8,1,"1797-01-13T19:00:00","1797-01-14T19:00:00"
107,4.8,4,2,"1797-01-14T19:00:00","1797-01-15T19:00:00"
108,5,6.2,1,,
109,17,14,1,,
109,7,13,2,,
110,15,6.4,1,,
111,8,10,1,,
112,13,11.6,1,,
113,14,32,1,,
114,16,16,1,,
115,4,6.8,1,,
116,18,18,1,,
117,13,11.2,1,,
118,9,9,1,,
119,6,6,1,,
120,8,8,1,,
121,11,11,1,,
122,3.2,3,1,,
123,5,4,1,,
124,18,18,1,,
125,7.5,5,1,,
126,11.5,10,1,,
127,24,24,1,,
128,4.8,4.8,1,,
129,12,12,1,,
130,6.4,6.4,1,,
131,4.8,4.8,1,,
131,2.8,2.8,2,,
132,6.4,6,1,,
133,11,11,1,,
134,6,7.6,1,,
135,8,8,1,,
136,9.600001,11.2,1,"1813-05-20T10:00:00","1813-05-20T10:00:00"
136,19,18,2,"1813-05-21T00:00:00","1813-05-21T00:00:00"
137,13,13,1,,
138,13.6,20.8,1,"1813-10-16T03:30:00","1813-10-16T03:30:00"
138,24,24,2,"1813-10-18T04:00:00","1813-10-18T04:00:00"
139,1.6,3.2,1,,
140,4.8,9.600001,1,"1814-02-01T08:00:00","1814-02-01T08:00:00"
140,6.4,6.4,2,"1814-02-01T11:00:00","1814-02-01T11:00:00"
141,6.4,10.4,1,"1814-03-09T01:00:00","1814-03-09T01:00:00"
141,4.8,6.4,2,"1814-03-10T01:00:00","1814-03-10T01:00:00"
142,4.8,4.8,1,"1814-03-20T09:00:00","1814-03-20T09:00:00"
142,6.4,6.4,2,"1814-03-21T10:00:00","1814-03-21T10:00:00"
143,12,12,1,,
144,5,5,1,,
145,4,6.4,1,"1815-06-18T06:30:00","1815-06-18T06:30:00"
145,9,9,2,"1815-06-18T09:00:00","1815-06-18T09:00:00"
146,0.2,0.2,1,,
147,1.6,1.6,1,,
148,0.5,0.7,1,,
149,2.3,3,1,,
150,1.5,1.5,1,,
151,3.2,2.5,1,,
152,7.5,7.5,1,,
153,1,1,1,,
154,1.4,1.4,1,,
155,4.5,4.5,1,,
156,0.3,0.2,1,,
157,1.2,1.6,1,,
157,2.7,3.4,2,,
158,1.9,2.7,1,,
159,7,13,1,,
160,2.4,4,1,,
161,2.5,2.7,1,,
162,2,1.1,1,,
163,1.6,1,1,,
164,1.8,3.5,1,,
165,10,11,1,,
166,2.5,2.5,1,,
167,8,6,1,,
168,11,11,1,,
169,12,24,1,,
169,32,24,2,,
171,4.5,4,1,,
172,2,2.4,1,,
173,1,1,1,,
174,0.6,0.8,1,,
175,1.1,1.1,1,,
