"match","war2","isqno.x","name.x","campgn.x","campgn.y","isqno.y","name.y","start_time_min.x","end_time_max.x","start_time_min.y","end_time_max.y"
1,"WORLD WAR I",305,"SOMME-FOURTH ARMY ATTACK","SOMME","WESTERN FRONT 1916",304,"FIRST SOMME","1916-07-01 07:30:00","1916-07-01 20:30:00","1916-07-01 00:00:00","1916-10-01 00:00:00"
0,"WORLD WAR I",305,"SOMME-FOURTH ARMY ATTACK","SOMME","EASTERN FRONT 1916",311,"1916 BRUSILOV OFFENSIVE","1916-07-01 07:30:00","1916-07-01 20:30:00","1916-06-04 00:00:00","1916-07-08 00:00:00"
0,"WORLD WAR I",305,"SOMME-FOURTH ARMY ATTACK","SOMME","AUSTRIAN TRENTINO OFFENSIVE",314,"TRENTINO COUNTER-OFFENSIVE","1916-07-01 07:30:00","1916-07-01 20:30:00","1916-06-16 00:00:00","1916-07-10 00:00:00"
1,"WORLD WAR I",306,"SOMME-OVILLERS","SOMME","WESTERN FRONT 1916",304,"FIRST SOMME","1916-07-01 07:30:00","1916-07-01 19:30:00","1916-07-01 00:00:00","1916-10-01 00:00:00"
0,"WORLD WAR I",306,"SOMME-OVILLERS","SOMME","EASTERN FRONT 1916",311,"1916 BRUSILOV OFFENSIVE","1916-07-01 07:30:00","1916-07-01 19:30:00","1916-06-04 00:00:00","1916-07-08 00:00:00"
0,"WORLD WAR I",306,"SOMME-OVILLERS","SOMME","AUSTRIAN TRENTINO OFFENSIVE",314,"TRENTINO COUNTER-OFFENSIVE","1916-07-01 07:30:00","1916-07-01 19:30:00","1916-06-16 00:00:00","1916-07-10 00:00:00"
1,"WORLD WAR I",307,"SOMME-BAZENTIN RIDGE","SOMME","WESTERN FRONT 1916",304,"FIRST SOMME","1916-07-14 03:30:00","1916-07-14 20:00:00","1916-07-01 00:00:00","1916-10-01 00:00:00"
1,"WORLD WAR I",308,"SOMME-FLERS-COURCELETTE","SOMME","WESTERN FRONT 1916",304,"FIRST SOMME","1916-09-15 06:20:00","1916-09-15 21:25:00","1916-07-01 00:00:00","1916-10-01 00:00:00"
1,"WORLD WAR I",348,"LA ROCHE WOOD EAST","BELLEAU WOOD","BELLEAU WOOD",347,"VAUX","1918-07-01 18:00:00","1918-07-02 02:30:00","1918-07-01 17:00:00","1918-07-02 02:30:00"
1,"WORLD WAR I",349,"LA ROCHE WOOD WEST","BELLEAU WOOD","BELLEAU WOOD",347,"VAUX","1918-07-01 17:00:00","1918-07-02 03:00:00","1918-07-01 17:00:00","1918-07-02 02:30:00"
1,"WORLD WAR I",360,"BERZY LE SEC","AISNE-MARNE II","AISNE-MARNE",359,"AISNE-MARNE II","1918-07-21 08:30:00","1918-07-21 09:15:00","1918-07-20 00:00:00","1918-08-02 00:00:00"
1,"WORLD WAR I",361,"BUZANCY RIDGE","AISNE-MARNE II","AISNE-MARNE",359,"AISNE-MARNE II","1918-07-21 00:00:00","1918-07-22 00:00:00","1918-07-20 00:00:00","1918-08-02 00:00:00"
1,"WORLD WAR I",365,"LAHAYVILLE-BOIS DE LAMARCHE","ST. MIHIEL","ST. MIHIEL",364,"ST. MIHIEL","1918-09-12 05:00:00","1918-09-12 17:30:00","1918-09-12 00:00:00","1918-09-16 00:00:00"
1,"WORLD WAR I",368,"MEDEAH FARM","MEUSE-ARGONNE (CHAMPAGNE)","MEUSE-ARGONNE (CHAMPAGNE)",367,"BLANC MONT I","1918-10-03 05:50:00","1918-10-03 08:40:00","1918-10-03 00:00:00","1918-10-07 00:00:00"
0,"WORLD WAR I",368,"MEDEAH FARM","MEUSE-ARGONNE (CHAMPAGNE)","MEUSE-ARGONNE",366,"MEUSE-ARGONNE I","1918-10-03 05:50:00","1918-10-03 08:40:00","1918-09-26 00:00:00","1918-10-04 00:00:00"
1,"WORLD WAR I",369,"ESSEN HOOK","MEUSE-ARGONNE (CHAMPAGNE)","MEUSE-ARGONNE (CHAMPAGNE)",367,"BLANC MONT I","1918-10-03 00:00:00","1918-10-04 00:00:00","1918-10-03 00:00:00","1918-10-07 00:00:00"
0,"WORLD WAR I",369,"ESSEN HOOK","MEUSE-ARGONNE (CHAMPAGNE)","MEUSE-ARGONNE",366,"MEUSE-ARGONNE I","1918-10-03 00:00:00","1918-10-04 00:00:00","1918-09-26 00:00:00","1918-10-04 00:00:00"
0,"WORLD WAR I",369,"ESSEN HOOK","MEUSE-ARGONNE (CHAMPAGNE)","MEUSE-ARGONNE PHASE II",373,"MEUSE-ARGONNE II","1918-10-03 00:00:00","1918-10-04 00:00:00","1918-10-04 00:00:00","1918-11-01 00:00:00"
1,"WORLD WAR I",370,"BLANC MONT RIDGE","MEUSE-ARGONNE (CHAMPAGNE)","MEUSE-ARGONNE (CHAMPAGNE)",367,"BLANC MONT I","1918-10-03 05:50:00","1918-10-03 09:30:00","1918-10-03 00:00:00","1918-10-07 00:00:00"
0,"WORLD WAR I",370,"BLANC MONT RIDGE","MEUSE-ARGONNE (CHAMPAGNE)","MEUSE-ARGONNE",366,"MEUSE-ARGONNE I","1918-10-03 05:50:00","1918-10-03 09:30:00","1918-09-26 00:00:00","1918-10-04 00:00:00"
1,"WORLD WAR I",371,"SOMMEPY WOOD","MEUSE-ARGONNE (CHAMPAGNE)","MEUSE-ARGONNE (CHAMPAGNE)",367,"BLANC MONT I","1918-10-03 05:50:00","1918-10-03 09:30:00","1918-10-03 00:00:00","1918-10-07 00:00:00"
0,"WORLD WAR I",371,"SOMMEPY WOOD","MEUSE-ARGONNE (CHAMPAGNE)","MEUSE-ARGONNE",366,"MEUSE-ARGONNE I","1918-10-03 05:50:00","1918-10-03 09:30:00","1918-09-26 00:00:00","1918-10-04 00:00:00"
0,"WORLD WAR I",374,"EXERMONT-MONTREFAGNE","MEUSE-ARGONNE PHASE II","MEUSE-ARGONNE (CHAMPAGNE)",367,"BLANC MONT I","1918-10-04 05:30:00","1918-10-04 18:30:00","1918-10-03 00:00:00","1918-10-07 00:00:00"
1,"WORLD WAR I",374,"EXERMONT-MONTREFAGNE","MEUSE-ARGONNE PHASE II","MEUSE-ARGONNE PHASE II",373,"MEUSE-ARGONNE II","1918-10-04 05:30:00","1918-10-04 18:30:00","1918-10-04 00:00:00","1918-11-01 00:00:00"
0,"WORLD WAR I",375,"MAYACHE RAVINE","MEUSE-ARGONNE PHASE II","MEUSE-ARGONNE (CHAMPAGNE)",367,"BLANC MONT I","1918-10-04 05:30:00","1918-10-04 17:30:00","1918-10-03 00:00:00","1918-10-07 00:00:00"
