"isqno","name","war2","war3"
262,"ALSACE-LORRAINE I","WORLD WAR I (WESTERN FRONT 1914)","WORLD WAR I"
263,"ALSACE-LORRAINE II","WORLD WAR I (WESTERN FRONT 1914)","WORLD WAR I"
264,"THE ARDENNES","WORLD WAR I (WESTERN FRONT 1914)","WORLD WAR I"
265,"THE SAMBRE","WORLD WAR I (WESTERN FRONT 1914)","WORLD WAR I"
266,"MONS","WORLD WAR I (WESTERN FRONT 1914)","WORLD WAR I"
267,"LE CATEAU","WORLD WAR I (WESTERN FRONT 1914)","WORLD WAR I"
268,"GUISE","WORLD WAR I (WESTERN FRONT 1914)","WORLD WAR I"
269,"HEIGHTS OF NANCY","WORLD WAR I (WESTERN FRONT 1914)","WORLD WAR I"
270,"OURCQ I","WORLD WAR I (WESTERN FRONT 1914)","WORLD WAR I"
271,"OURCQ II","WORLD WAR I (WESTERN FRONT 1914)","WORLD WAR I"
272,"PETIT MORIN","WORLD WAR I (WESTERN FRONT 1914)","WORLD WAR I"
273,"TWO MORINS","WORLD WAR I (WESTERN FRONT 1914)","WORLD WAR I"
274,"MARSHES OF ST.GOND","WORLD WAR I (WESTERN FRONT 1914)","WORLD WAR I"
275,"VITRY LE FRANCOIS","WORLD WAR I (WESTERN FRONT 1914)","WORLD WAR I"
276,"GAP OF REVIGNY","WORLD WAR I (WESTERN FRONT 1914)","WORLD WAR I"
277,"THE AISNE","WORLD WAR I (WESTERN FRONT 1914)","WORLD WAR I"
278,"STALLUPONEN","WORLD WAR I (EASTERN FRONT 1914)","WORLD WAR I"
279,"GUMBINNEN","WORLD WAR I (EASTERN FRONT 1914)","WORLD WAR I"
280,"TANNENBERG","WORLD WAR I (EASTERN FRONT 1914)","WORLD WAR I"
281,"MASURIAN LAKES","WORLD WAR I (EASTERN FRONT 1914)","WORLD WAR I"
282,"KRASNIK","WORLD WAR I (EASTERN FRONT 1914)","WORLD WAR I"
283,"KOMAROV","WORLD WAR I (EASTERN FRONT 1914)","WORLD WAR I"
284,"GNILA LIPA","WORLD WAR I (EASTERN FRONT 1914)","WORLD WAR I"
285,"RAVA RUSSKA","WORLD WAR I (EASTERN FRONT 1914)","WORLD WAR I"
286,"LODZ","WORLD WAR I (EASTERN FRONT 1914)","WORLD WAR I"
287,"THE JADAR","WORLD WAR I (SERBIAN FRONT 1914)","WORLD WAR I"
288,"THE KOLUBRA","WORLD WAR I (SERBIAN FRONT 1914)","WORLD WAR I"
289,"EASTERN CHAMPAGNE","WORLD WAR I (WESTERN FRONT 1915)","WORLD WAR I"
290,"NEUVE CHAPELLE","WORLD WAR I (WESTERN FRONT 1915)","WORLD WAR I"
291,"YPRES II","WORLD WAR I (WESTERN FRONT 1915)","WORLD WAR I"
292,"FESTUBERT","WORLD WAR I (WESTERN FRONT 1915)","WORLD WAR I"
293,"LOOS","WORLD WAR I (WESTERN FRONT 1915)","WORLD WAR I"
294,"WINTER BATTLE (MASURIA)","WORLD WAR I (EASTERN FRONT 1915)","WORLD WAR I"
295,"GOLICE-TARNOW (OPENING PHASE)","WORLD WAR I (EASTERN FRONT 1915)","WORLD WAR I"
296,"FIRST ISONZO","WORLD WAR I (ITALIAN FRONT 1915)","WORLD WAR I"
297,"SECOND ISONZO","WORLD WAR I (ITALIAN FRONT 1915)","WORLD WAR I"
298,"THIRD ISONZO","WORLD WAR I (ITALIAN FRONT 1915)","WORLD WAR I"
299,"FOURTH ISONZO","WORLD WAR I (ITALIAN FRONT 1915)","WORLD WAR I"
300,"FIRST DARDANELLES LANDING","WORLD WAR I (TURKISH FRONTS 1915)","WORLD WAR I"
301,"SUVLA BAY","WORLD WAR I (TURKISH FRONTS 1915)","WORLD WAR I"
302,"KUT-EL-AMARA","WORLD WAR I (TURKISH FRONTS 1915)","WORLD WAR I"
303,"CTESIPHON","WORLD WAR I (TURKISH FRONTS 1915)","WORLD WAR I"
304,"FIRST SOMME","WORLD WAR I (WESTERN FRONT 1916)","WORLD WAR I"
305,"SOMME-FOURTH ARMY ATTACK","WORLD WAR I (WESTERN FRONT 1916)","WORLD WAR I"
306,"SOMME-OVILLERS","WORLD WAR I (WESTERN FRONT 1916)","WORLD WAR I"
307,"SOMME-BAZENTIN RIDGE","WORLD WAR I (WESTERN FRONT 1916)","WORLD WAR I"
