isqno,name,war,war2,war3,cdb13_war,cdb13_theater,dbpedia,cow_warno,cow_warname,comment,sidea
1,NIEUPORT,NETHERLAND'S WAR OF INDEPENDENCE,NETHERLAND'S WAR OF INDEPENDENCE,NETHERLAND'S WAR OF INDEPENDENCE,Eighty Years War of 1568-1648,,Battle_of_Nieuwpoort,,,,B
2,WHITE MOUNTAIN,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,Battle_of_White_Mountain,,,,B
3,WIMPFEN,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,Battle_of_Wimpfen,,,,B
4,DESSAU BRIDGE,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,Battle_of_Dessau_Bridge,,,,A
5,LUTTER,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,Battle_of_Lutter,,,,B
6,BREITENFELD I,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,Battle_of_Breitenfeld_(1631),,,,B
7,THE LECH,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,Battle_of_Rain,,,,A
8,ALTE VESTE,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,Battle_of_the_Alte_Veste,,,,A
9,LUETZEN,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,Battle_of_Lützen_(1632),,,,A
10,NORDLINGEN I,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,Battle_of_Nördlingen_(1634),,,,A
11,WITTSTOCK,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,Battle_of_Wittstock,,,,A
12,BREITENFELD II,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,Battle_of_Breitenfeld_(1642),,,,A
13,ROCROI,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,Battle_of_Rocroi,,,,A
14,TUTTLINGEN,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,Battle_of_Tuttlingen,,,,B
15,FREIBURG,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,Battle_of_Freiburg,,,,A
16,JANKAU,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,Battle_of_Jankau,,,,B
17,MERGENTHEIM,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,Battle_of_Herbsthausen,,,,B
18,ALLERHEIM (NORDLINGEN II),THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,Battle_of_Nördlingen_(1645),,,,A
19,LENS,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,Battle_of_Lens,,,,A
20,EDGEHILL,ENGLISH CIVIL WAR,ENGLISH CIVIL WAR,ENGLISH CIVIL WAR,First English Civil War of 1642-1646,,Battle_of_Edgehill,,,,A
21,MARSTON MOOR,ENGLISH CIVIL WAR,ENGLISH CIVIL WAR,ENGLISH CIVIL WAR,First English Civil War of 1642-1646,,Battle_of_Marston_Moor,,,,A
22,TIPPERMUIR,ENGLISH CIVIL WAR,ENGLISH CIVIL WAR,ENGLISH CIVIL WAR,First English Civil War of 1642-1646,,Battle_of_Tippermuir,,,,B
